# L[fm^-1] C_0[nucl-Martin]      D_0[nucl-Martin]   C_0[nucl-Rimas-unproj]      D_0[nucl-Rimas-unproj]     C_0[nucl-Rimas-proj]      D_0[nucl-Rimas-proj]
0.5        -16.3721              4.436              -16.3721                    4.4445                     -16.3721                  4.436
0.75       -28.6714              12.936             -28.6714                    12.94                      -28.6714                  12.936
1          -44.4515              27.245             -44.4515                    27.207                     -44.4515                  27.245
1.5        -86.4495              79.22              -86.4495                    78.852                     -86.4495                  79.22
2          -142.3625             173.925            -142.3625                   172.58                     -142.3625                 173.925
3          -295.93               566.65             -295.93                     559.05                     -295.93                   566.65
4          -505.15               1426.75            -505.15                     1400.13                    -505.15                   1426.75
6          -1090.548             6552.5             -1090.548                   6354.8                     -1090.548                 6552.5
8          -1898.553             25697              -1898.553                   24309                      -1898.553                 25697
10         -2929.165             92495              -2929.165                   87840                      -2929.165                 92495
